Repo Name,Created At,Created By,Has .pre-commit-config.yaml,Has gitleaks_secret_scan.yml,Repo_Type,Branch Protection Enabled
react-project,2023-06-27T06:28:37Z,Unknown,False,False,test,True
reusable-workflows,2023-06-29T06:48:40Z,souro1212,True,False,test,True
admin,2023-07-03T07:39:01Z,Unknown,False,False,test,False
nodejs-microservices,2023-07-06T11:43:49Z,Unknown,True,False,test,False
amplifyapp,2023-07-06T12:36:28Z,Unknown,True,False,test,True
test_keys,2024-01-18T07:10:08Z,Unknown,True,False,test,True
security-scripts,2024-01-23T13:45:21Z,Unknown,True,False,test,Unknown
pre-commit-hooks,2024-01-30T13:28:46Z,Unknown,True,False,test,True
security-workflow,2024-01-31T09:16:03Z,souro1212,True,False,test,Unknown
test,2024-02-01T09:25:51Z,Unknown,True,False,test,True
test1,2024-02-01T09:26:06Z,Unknown,True,False,test,True
test2,2024-02-23T06:51:26Z,Unknown,True,True,test,True
vulpy,2024-02-27T09:57:14Z,Unknown,False,False,test,False
test3,2024-03-18T06:45:52Z,Unknown,True,True,test,False
test4,2024-03-18T06:46:25Z,Unknown,True,True,test,True
test5,2024-03-20T10:24:32Z,Unknown,False,True,test,True
test6,2024-03-20T10:24:51Z,Unknown,False,True,test,True
test-repo1,2024-04-08T15:50:40Z,Unknown,False,False,test,False
test-repo2,2024-04-08T15:51:17Z,Unknown,False,False,test,False
test11,2024-05-27T07:48:11Z,Unknown,False,False,test,False
test-repo,2024-06-12T08:21:35Z,Unknown,False,False,test,False
test123,2024-06-12T09:49:21Z,Unknown,False,False,test,False
test12998,2024-06-12T09:56:41Z,Unknown,False,False,test,False
123test8,2024-06-12T10:21:17Z,Unknown,False,False,test,False
terraform-test-repo,2024-06-18T15:07:01Z,Unknown,False,False,test2,False
test-repo-pre-commit,2024-06-26T09:42:21Z,Unknown,True,False,test,False
demo-secret-scan-repo,2024-07-04T06:33:01Z,Unknown,False,False,test,False
demo-secret-scan-repo-1,2024-07-04T17:35:36Z,Unknown,False,False,test,Unknown
testrepo-reusable-workflow,2024-09-05T09:41:54Z,souro1212,False,False,test,True
py-sqli,2024-09-23T14:20:36Z,souro1212,False,False,test,True
